City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
323,Santa Helena,BR,-2.2311,-45.3,72.01,98,85,2.44,overcast clouds
324,Baiao,BR,-2.7906,-49.6717,71.67,99,95,2.01,overcast clouds
325,Bathsheba,BB,13.2167,-59.5167,79.41,78,40,17.27,scattered clouds
326,Kutum,SD,14.2,24.6667,53.62,31,100,5.93,overcast clouds
327,Fukue,JP,32.6881,128.8419,62.96,48,75,12.66,broken clouds
328,Kuragino,RU,53.8975,92.6725,22.3,87,100,3.76,overcast clouds
329,Marsa Matruh,EG,31.3525,27.2453,57.4,67,40,11.5,scattered clouds
330,Nador,MA,35.174,-2.9287,64.65,77,75,11.5,broken clouds
331,Kenai,US,60.5544,-151.2583,10.15,87,100,3.44,overcast clouds
332,Touros,BR,-5.1989,-35.4608,77.11,80,73,7.63,broken clouds
333,Nanortalik,GL,60.1432,-45.2371,28.09,73,100,12.28,overcast clouds
334,Toucheng,TW,24.8592,121.8233,77.11,73,94,4.63,overcast clouds
335,Bonavista,CA,48.6499,-53.1147,24.94,75,100,20.85,overcast clouds
336,Yantal,RU,56.8471,105.2542,25.52,94,100,11.3,light snow
337,Maturin,VE,9.75,-63.1767,73.24,98,84,0.0,broken clouds
338,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,68,0,10.36,clear sky
339,Leningradskiy,RU,69.3833,178.4167,-20.43,96,77,2.51,broken clouds
340,Dolzhanskaya,RU,46.6311,37.8039,20.61,61,6,18.88,clear sky
341,Roma,US,43.2128,-75.4557,26.73,93,0,5.75,clear sky
342,Puri,IN,19.8,85.85,70.32,32,0,9.86,clear sky
343,Tulum,MX,20.2167,-87.4667,70.79,94,17,5.48,light rain
344,Mackenzie,CA,55.2999,-123.1698,26.82,93,100,4.61,overcast clouds
